STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-00567,Berrien Springs Virtual Academy,4,PS,.,.,.,.,.,.,1,PS,.,.,3,PS,.,.,.,.,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-01971,Success  EdmoreMontabellaVestaburg,12,LT50,.,.,1,PS,.,.,1,PS,.,.,10,LT50,1,PS,9,LT50,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-01952,West Michigan Virtual  Battle Creek HS,79,15-19,1,PS,.,.,4,PS,8,LT50,4,PS,62,20-24,8,LT50,54,19-Nov,.,.,5,PS,2,PS,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-01963,Success  StantonCentral Montcalm,33,19-Nov,.,.,.,.,.,.,1,PS,.,.,32,19-Nov,2,PS,20,LE20,1,PS,.,.,.,.,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-01980,Success  Escanaba,51,20-29,.,.,.,.,.,.,1,PS,2,PS,48,20-29,1,PS,38,19-Nov,.,.,1,PS,.,.,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-01957,Success  Howard CityTri County,21,LE20,.,.,.,.,1,PS,1,PS,2,PS,17,LE20,2,PS,14,LT50,.,.,1,PS,1,PS,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-02459,Success  Three Rivers,56,20-29,.,.,.,.,6,LT50,2,PS,3,PS,45,20-29,1,PS,42,19-Nov,.,.,2,PS,.,.,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-02450,Success  Lakeview,23,21-39,.,.,.,.,.,.,1,PS,.,.,22,21-39,.,.,15,LT50,1,PS,.,.,.,.,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-02455,SUCCESS  Grand Rapids Alger Heights,59,30-39,.,.,.,.,23,21-39,18,21-39,8,LT50,10,LT50,2,PS,39,20-29,1,PS,2,PS,8,GE50,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-02456,Success  Menominee,23,21-39,.,.,.,.,1,PS,1,PS,1,PS,20,21-39,.,.,18,21-39,.,.,1,PS,.,.,23-Sep-19
