STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
TEXAS,48,4816230,TX-057905,DALLAS ISD,4.81623E+11,TX-057905-057905381,BARACK OBAMA MALE LEADERSHIP ACA AT BF DARRELL H S,50,GE90,,,,,20,GE80,28,GE80,,,2,PS,1,PS,41,GE90,,,,,4,PS,23-Sep-19
TEXAS,48,4816290,TX-020904,DANBURY ISD,4.81629E+11,TX-020904-020904001,DANBURY H S,44,GE90,2,PS,,,,,11,GE50,1,PS,30,GE80,1,PS,9,GE50,,,3,PS,,,23-Sep-19
TEXAS,48,4816320,TX-148905,DARROUZETT ISD,4.81632E+11,TX-148905-148905101,DARROUZETT SCHOOLS,11,GE50,,,,,,,2,PS,1,PS,8,GE50,,,5,PS,,,1,PS,,,23-Sep-19
TEXAS,48,4816350,TX-058902,DAWSON ISD,4.81635E+11,TX-058902-058902001,DAWSON SCHOOL,6,GE50,,,,,,,2,PS,,,4,PS,,,1,PS,,,,,,,23-Sep-19
TEXAS,48,4816380,TX-175904,DAWSON ISD,4.81638E+11,TX-175904-175904001,DAWSON H S,31,GE90,,,,,3,PS,5,PS,1,PS,22,GE80,6,GE50,18,GE80,,,,,,,23-Sep-19
TEXAS,48,4816410,TX-146902,DAYTON ISD,4.81641E+11,TX-146902-146902002,DAYTON H S,332,96,1,PS,3,PS,36,GE90,121,GE95,4,PS,167,90-94,26,GE80,205,GE95,,,54,GE90,21,GE80,23-Sep-19
TEXAS,48,4816410,TX-146902,DAYTON ISD,4.81641E+11,TX-146902-146902007,FREDDA NOTTINGHAM ALTERNATIVE EDUCATION CENTER,18,GE80,,,,,,,5,PS,,,13,GE50,1,PS,9,GE50,,,2,PS,1,PS,23-Sep-19
TEXAS,48,4816440,TX-047902,DE LEON ISD,4.81644E+11,TX-047902-047902001,DE LEON H S,46,GE90,1,PS,,,,,14,GE50,,,31,GE90,5,PS,22,GE80,1,PS,8,GE50,2,PS,23-Sep-19
TEXAS,48,4816500,TX-249905,DECATUR ISD,4.8165E+11,TX-249905-249905001,DECATUR H S,242,96,1,PS,1,PS,1,PS,80,GE95,1,PS,158,GE95,16,GE80,83,90-94,,,5,PS,18,60-79,23-Sep-19
TEXAS,48,4816530,TX-101908,DEER PARK ISD,4.81653E+11,TX-101908-101908001,DEER PARK HS,1042,88,4,PS,17,GE80,36,80-89,538,88,18,GE80,429,89,95,75-79,413,85,2,PS,62,60-64,52,70-79,23-Sep-19
