fiscal_year|state|county|district_name|instruction_expenditures|local_revenue|state_revenue|federal_revenue|county_name|total_enrollment|low_income_students|total_male|total_female|total_white|total_black|total_american_indian|total_hispanic|total_grad_count|total_cohort_count|per_pupil_expenditures|cohort_instruction_expenditures|total_asian|total_multiracial|total_paid_meals|total_females|total_males|state_name|district_id|total_cohort|grad_rate|ppe|pp_local_rev|pp_state_rev|pp_fed_rev
2015|IN|Newton|South Newton School Corporation|4185739|358184|6119197|509309||894|520|||765|10|1|101|53|59|4682.0347|20056.424|0|17|374|422|472|INDIANA|1810470|60|84.5|4682.0347|400.65323|6844.7393|569.69684
2016|IN|Newton|South Newton School Corporation|4145356|243029|6155629|548266||914|548|||777|11|1|107|66|72|4535.4004|19359.998|0|17|366|448|466|INDIANA|1810470|72|92|4535.4004|265.89606|6734.8237|599.85339
2017|IN|Newton|South Newton School Corporation|4255633|249360|5916111|559270||852|510|||728|7|0|101|41|51|4994.8745|19132.393|0|14|342|408|444|INDIANA|1810470|51|84.5|4994.8745|292.67606|6943.7925|656.42017
2018|IN|Newton|South Newton School Corporation|4261347|256869|6200508|544908||890|533|||760|11|0|106|61|66|4788.0303|19000.34|0|11|357|430|460|INDIANA|1810470|68|92|4788.0303|288.61685|6966.8628|612.25616
2011|IL|Kankakee|St. Anne Community High School District 302|3136472|2457350|2562228|956343|Kankakee|565|286|319|282|390|99|0|61|1225|1531|5551.2778|22827.611||||||ILLINOIS|1737140|64|82|5551.2778|4349.292|4534.917|1692.6425
2012|IL|Kankakee|St. Anne Community High School District 302|3193554|2528275|2039847.875|731585|Kankakee|584|404|321|294|370|106|0|70|1480|1495|5468.4146|22706.637||||||ILLINOIS|1737140|56|74.5|5468.4146|4329.2378|3492.8901|1252.714
2013|IL|Kankakee|St. Anne Community High School District 302|3194613|2515049|1915916|680216|Kankakee|590|417|341|282|359|105|0|88|1524|1458|5414.5981|22696.938||||||ILLINOIS|1737140|81|72|5414.5981|4262.7949|3247.3152|1152.9084
2014|IL|Kankakee|St. Anne Community High School District 302|3270792|2586896|1948399|612579|Kankakee|556|402|295|290|331|98|0|85|1167|1425|5882.7192|22317.01||||||ILLINOIS|1737140|71|72|5882.7192|4652.6904|3504.3147|1101.7607
2015|IL|Kankakee|St. Anne Community High School District 302|3486194|2505693|1938239|612594|Kankakee|560|414|310|273|309|112|0|85|1189|1451|6225.3462|22991.078||||||ILLINOIS|1737140|79|82|6225.3462|4474.4517|3461.1411|1093.9178
2016|IL|Kankakee|St. Anne Community High School District 302|3481638|2489552|2454493|631006|Kankakee|533|379|300|271|319|96|0|85|1222|1433|6532.1538|24054.816||||||ILLINOIS|1737140|70|77|6532.1538|4670.8291|4605.0527|1183.8762
2017|IL|Kankakee|St. Anne Community High School District 302|3418911|2516793|2026485|648840|Kankakee|534|383|298|278|307|98|0|101|1173|1376|6402.4551|25042.674||||||ILLINOIS|1737140|55|84.5|6402.4551|4713.0957|3794.9158|1215.0562
2018|IL|Kankakee|St. Anne Community High School District 302|3602715|2623726|2483867|671866|Kankakee|526|373|295|269|308|87|0|105|1238|1302|6849.2681|26009.223||||||ILLINOIS|1737140|61|87|6849.2681|4988.0723|4722.1807|1277.3118
